Date,MarketPrice,MinersRevenue,TradeVolume,TransctionFee,TransactionPerSec,Return
4/26/2019,5195.61,10183521.95,346365600.4,1.235306298,2.85,0.018711951
4/27/2019,5292.83,9112041.031,344577947.1,0.78174729,6.3,-0.002388136
4/28/2019,5280.19,10771720.95,153300178.7,0.646691283,5.55,0.003996068
4/29/2019,5301.29,11244134.78,104885492.5,0.994149617,3.333333333,-0.007666059
4/30/2019,5260.65,9672352.742,254115382.6,1.272588061,4.683333333,0.001737428
5/1/2019,5269.79,11945018.64,65541116,0.787724249,5.566666667,0.010793599
5/2/2019,5326.67,12941749.35,51098585.51,0.761744647,4.333333333,0.011919267
5/3/2019,5390.16,11122649.23,68390511.78,1.194231399,4.316666667,0.049530997
5/4/2019,5657.14,10035261.37,171606287,0.967777885,5.866666667,0.020140919
5/5/2019,5771.08,9591032.608,120664799.3,1.088117059,6.333333333,-0.0092565
5/6/2019,5717.66,11100910.08,55755075.37,1.140026254,4.083333333,-0.005804822
5/7/2019,5684.47,10026818.29,84401987.36,1.645404384,4.216666667,0.01253415
5/8/2019,5755.72,11731703.73,147447099.5,1.665978272,4.483333333,0.031446978
5/9/2019,5936.72,12149462.76,92603630.08,1.780263903,3.433333333,0.035405072
5/10/2019,6146.91,10770042.58,127082999.9,2.403287103,3.15,0.032717251
5/11/2019,6348.02,11877938.28,169471566.4,2.460959935,3.366666667,0.141822174
5/12/2019,7248.31,15580744.72,358764816.2,2.184793773,3.233333333,-0.037205914
5/13/2019,6978.63,16443665.52,437929061.2,2.138414443,2.35,0.121009424
5/14/2019,7823.11,16211651.62,459019962.2,2.879559842,4.833333333,0.021676801
5/15/2019,7992.69,16983774.49,372592512.2,4.195077248,3.333333333,0.026800739
5/16/2019,8206.9,16642489.04,284130100.1,4.862897708,5.866666667,-0.039106118
5/17/2019,7885.96,15398528.27,295196717.9,4.565002493,3.833333333,-0.066414235
5/18/2019,7362.22,14984659.85,455963414.2,2.744558312,3.516666667,-0.013198465
5/19/2019,7265.05,17128952.08,117316463.3,2.873052514,3.883333333,0.12782431
5/20/2019,8193.7,17411194.29,293462035.9,3.848718497,3.15,-0.022782137
5/21/2019,8007.03,16828129.85,251989801.6,4.228727932,3.166666667,-0.006810265
5/22/2019,7952.5,18104557.65,141589252.4,3.547113395,4.366666667,-0.041065074
5/23/2019,7625.93,16469421.05,162680990.6,3.241893526,5.733333333,0.03335462
5/24/2019,7880.29,16833084.31,151053338.9,4.107662925,5.45,0.015604756
5/25/2019,8003.26,15115205.13,157606998.7,3.048256445,4.033333333,0.008520278
5/26/2019,8071.45,17530637.74,62381654.19,2.082056416,4.983333333,0.083376593
5/27/2019,8744.42,20943626.17,190510656.1,4.138541219,8.916666667,0.002932156
5/28/2019,8770.06,20098452.3,179353690.6,4.336700609,5.933333333,-0.00572174
5/29/2019,8719.88,20660475.75,134279873.7,3.990584662,3.983333333,-0.006525319
5/30/2019,8662.98,18924858.12,139788877.3,4.324696201,5,-0.045079176
5/31/2019,8272.46,13928405.37,291707289.9,5.731200056,3.466666667,0.034010439
6/1/2019,8553.81,17500366.38,174940725.8,4.103578195,2.9,0.000115738
6/2/2019,8554.8,15462127.81,79112822.8,3.404087712,4.633333333,0.021535278
6/3/2019,8739.03,14378777.93,80345418.36,5.758379603,4.166666667,-0.069127809
6/4/2019,8134.92,17028462.32,189061316.6,4.549425034,4.35,-0.05643817
6/5/2019,7675.8,16774166.52,298320274,3.320011156,4.766666667,0.014362021
6/6/2019,7786.04,16576546.92,156168263.7,2.596334265,3.166666667,0.002207798
6/7/2019,7803.23,16904713.85,155472100.7,2.400420415,3.55,0.024997341
6/8/2019,7998.29,12882272.72,152941461.8,1.980147058,2.466666667,-0.008370539
6/9/2019,7931.34,15040475.21,76557021.41,1.627761804,2.333333333,-0.036655849
6/10/2019,7640.61,16318423.02,75192236.29,2.246521181,4.633333333,0.049704147
6/11/2019,8020.38,14984664.36,137334731.2,2.563458422,3.883333333,-0.012817348
6/12/2019,7917.58,14041153.39,119201858.9,2.662764073,4.466666667,0.032267435
6/13/2019,8173.06,16311181.09,170534084.4,2.451532465,3.85,0.007930934
6/14/2019,8237.88,18846894.08,118173871.4,2.691913727,3.516666667,0.055320058
6/15/2019,8693.6,16609185.1,165814336.8,2.073354905,4,0.019079553
6/16/2019,8859.47,15480924.7,110733186.6,2.29493753,4.85,0.013490649
6/17/2019,8978.99,16680372.79,291304564.5,3.368683949,2.75,0.038811715
6/18/2019,9327.48,19759220.1,236199962.6,2.708532509,4.416666667,-0.026941896
6/19/2019,9076.18,21219685.89,91483265.55,2.412693102,4.15,0.022643888
6/20/2019,9281.7,17906834.42,64175901.41,3.172826115,4.716666667,0.026897012
6/21/2019,9531.35,17538287.92,88441301.34,3.663667946,3.6,0.071136827
6/22/2019,10209.38,20226178.73,134167792.4,3.720254747,4.933333333,0.044983143
6/23/2019,10668.63,25447586.8,210388797.6,2.283479151,4.2,0.013670921
6/24/2019,10814.48,25683149.78,92033603.99,2.857160416,2.933333333,0.018772978
6/25/2019,11017.5,22012700.09,90826286.85,3.793843982,3.483333333,0.067973678
6/26/2019,11766.4,28602342.13,188227336.1,5.907108253,4.85,0.099108478
6/27/2019,12932.55,23684931.42,521683547.9,6.525238654,3.45,-0.13916049
6/28/2019,11132.85,25937334.79,423175771.1,5.24107402,4.066666667,0.111516817
6/29/2019,12374.35,27405858.84,251088678.3,3.603235715,3.266666667,-0.039110741
6/30/2019,11890.38,23170049.16,184877335.6,3.661676847,3.666666667,-0.096939711
7/1/2019,10737.73,20510124.42,172764921.6,4.029535847,5.35,-0.01480853
7/2/2019,10578.72,21634656.18,171482109.1,3.246306102,3.883333333,0.021427923
7/3/2019,10805.4,25660429.83,240430091,2.689392415,3.266666667,0.109145427
7/4/2019,11984.76,25608368.43,273546634,2.668324431,4.6,-0.068776513
7/5/2019,11160.49,27132379.48,130466909.3,2.235180504,3.466666667,-0.018397938
7/6/2019,10955.16,26335706.98,124193828.6,1.675062082,4.233333333,0.025273935
7/7/2019,11232.04,22174981.68,85554897.96,1.646543251,3.866666667,0.021809929
7/8/2019,11477.01,27968213.84,67612787.46,2.106811842,3.55,0.072847371
7/9/2019,12313.08,25335914.87,277905476.8,2.437450165,4.983333333,0.022228395
7/10/2019,12586.78,21508972.68,364111378.8,3.442029812,3.05,-0.038681855
7/11/2019,12099.9,19960968.61,507237487.9,2.841685663,2.783333333,-0.061738527
7/12/2019,11352.87,24773188.33,400745298.7,2.146951861,4.5,0.039734446
7/13/2019,11803.97,20609810.03,223317773.9,1.66643281,2.583333333,-0.03514665
7/14/2019,11389.1,20182908.13,237143043,1.454884938,3.466666667,-0.1055518
7/15/2019,10186.96,19638311.28,163504273.4,1.903448161,4.65,0.067394002
7/16/2019,10873.5,22149573.04,334140371.6,1.793930686,2.566666667,-0.135722628
7/17/2019,9397.72,16501101.44,413796084.1,1.899219035,4.033333333,0.029428415
7/18/2019,9674.28,15933222.49,350207291.4,2.295138544,4.25,0.099674601
7/19/2019,10638.56,16208139.75,400333481,2.482984824,2.35,-0.009663902
7/20/2019,10535.75,24399901.57,266367992.2,1.649644434,3.2,0.021749757
7/21/2019,10764.9,20103997.74,231375270.5,1.396581714,3.533333333,-0.016487845
7/22/2019,10587.41,21529384.36,149533508.5,1.766742293,1.266666667,-0.024915442
7/23/2019,10323.62,18769327.2,207597158.4,1.607887258,3.416666667,-0.04642945
7/24/2019,9844.3,17345757,198778566.7,1.639096212,3.016666667,-0.007327083
7/25/2019,9772.17,19605754.21,207985687,1.660277286,4.4,0.010540136
7/26/2019,9875.17,20745948,132194259.5,1.422244216,2.733333333,-0.002685523
7/27/2019,9848.65,18834366.14,122793165.2,1.131288649,4.166666667,-0.038041762
7/28/2019,9473.99,20994348.81,196200932.7,0.919680288,2.966666667,0.005911976
7/29/2019,9530,20887751.48,93425734.9,1.131284597,2.883333333,-0.003008395
7/30/2019,9501.33,17750997.04,110257994,1.735103036,2.966666667,0.009240812
7/31/2019,9589.13,21676009.16,115667921.7,1.463444528,3.383333333,0.051680392
